rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/clip_fraction,train/clip_range,train/explained_variance,train/approx_kl,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/loss
22.772727272727273,18,1,28,512,3.269456181818182,,,,,,,,,,
19.28846153846154,18,2,56,1024,2.920545384615385,0.1923828125,0.2,0.003692626953125,0.013394596,-1.598079389333725,10,-0.021790797862922772,0.0005,1.6338655725121498,0.520698070526123
19.27848101265823,18,3,83,1536,3.013552253164557,0.234375,0.2,-0.026811957359313965,0.014944336,-1.5569763615727426,20,-0.025186903879512102,0.0005,2.093376801908016,0.9692785739898682
18.04,18,4,113,2048,3.2853100299999993,0.17109375,0.2,0.08515793085098267,0.011996407,-1.5059381023049354,30,-0.01627757098758593,0.0005,2.235899421572685,0.9735550284385681
17.24,17,5,143,2560,3.8289051099999996,0.0716796875,0.2,-0.03679072856903076,0.011542467,-1.44868573397398,40,-0.004835169512080029,0.0005,5.041124892234802,2.525146245956421
16.82,17,6,177,3072,4.50257306,0.1205078125,0.2,0.013090014457702637,0.013596922,-1.400782310962677,50,-0.012960284121800215,0.0005,4.5091517001390455,2.3460729122161865
16.41,17,7,207,3584,5.00557574,0.140625,0.2,0.09729111194610596,0.013181718,-1.3363476902246476,60,-0.011421163333579898,0.0005,4.592768585681915,1.8982937335968018
16.15,17,8,237,4096,4.92689428,0.0140625,0.2,0.05154764652252197,0.004097049,-1.355353231728077,70,-0.002910732867894694,0.0005,7.474463677406311,3.920018434524536
16.09,17,9,270,4608,4.910246850000001,0.083984375,0.2,0.13766586780548096,0.011609071,-1.3758933931589126,80,-0.005762905906885862,0.0005,5.047943192720413,3.082449436187744
15.45,16,10,307,5120,4.648656139999999,0.102734375,0.2,0.18840205669403076,0.011176209,-1.268316626548767,90,-0.009764944564085453,0.0005,4.917351794242859,3.2643632888793945
15.96,16,11,343,5632,4.99781972,0.1083984375,0.2,0.2041938304901123,0.0070376303,-1.213985115289688,100,-0.010714167496189475,0.0005,4.743967765569687,1.7447054386138916
17.17,16,12,375,6144,5.60503556,0.0423828125,0.2,0.19409692287445068,0.004552639,-1.2387872159481048,110,-0.002757546686916612,0.0005,5.585291635990143,1.9500360488891602
18.56,16,13,406,6656,6.31118626,0.0998046875,0.2,0.08506494760513306,0.0056733503,-1.1668369442224502,120,-0.00854031090857461,0.0005,6.0158190578222275,3.034877061843872
18.88,16,14,436,7168,6.49018229,0.025390625,0.2,0.13236075639724731,0.005974603,-1.1482627511024475,130,-0.001737696467898786,0.0005,8.277498596906662,3.9092025756835938
19.71,15,15,482,7680,6.918105049999999,0.046875,0.2,0.09255319833755493,0.00685478,-1.0723542973399163,140,-0.003761574043892324,0.0005,8.765642762184143,4.380341053009033
20.67,15,16,518,8192,7.37106433,0.08046875,0.2,0.16968274116516113,0.010655773,-1.000633180141449,150,-0.006228416785597801,0.0005,8.466548097133636,3.7739124298095703
